rider;1970;1972;1974;1976;1977;1979;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Salvato Cristian;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Refin - Mobilvetta;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Baronti Alessandro;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Panaria - Vinavil;null;null;Cantina Tollo - Alexia Alluminio;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Castelblanco José Joaquin;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Kelme-Artiach-Costa Blanca;null;null;Kelme - Costa Blanca;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Teyssier Francisque;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Aubervilliers93-Peugeot;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Finco Carlo;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;MG Maglificio - Technogym;MG Maglificio - Technogym;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
González José Jaime;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Kelme-Artiach-Costa Blanca;Kelme - Costa Blanca;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Dellavedova Marco;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Brescialat - Oyster;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Pontier Frederic;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Aubervilliers93-Peugeot;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Jiménez José María;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Banesto;Banesto;Banesto;null;Banesto;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Masdupuy Jean-luc;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Agrigel-Lacreause-Fenioux;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Steinhauser Tobias;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Refin - Mobilvetta;null;null;null;null;null;null;Team Bianchi;null;T-Mobile Team;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Gelfi Luca;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Brescialat - Oyster;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Previtali Sergio;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Panaria - Vinavil;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Steels Tom;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Mapei-GB;Mapei - Bricobi;Mapei - Quickstep;Mapei - Quickstep;Mapei - Quickstep;Mapei - Quickstep;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
McEwen Robbie;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Rabobank ProTeam;Rabobank ProTeam;Rabobank ProTeam;Farm Frites;null;Lotto - Adecco;Lotto - Domo;Lotto - Domo;Davitamon - Lotto;Davitamon - Lotto;Predictor - Lotto;Silence - Lotto;null;Team Katusha;null;null;null;null;null;null;null;null;null
Jalabert Nicolas;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Cofidis;Cofidis;null;O.N.C.E. - Deutsche Bank;CSC ProTeam - Tiscali;null;Team CSC;Phonak Hearing Systems;Phonak Hearing Systems;Phonak Hearing Systems;Agritubel;Agritubel;null;null;null;null;null;null;null;null;null;null;null
Fraser Gordon;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;La Mutuelle de Seine et Marne;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Strazzer Massimo;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Roslotto-ZG Mobili;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Etxebarria David;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;O.N.C.E.;null;O.N.C.E. - Deutsche Bank;O.N.C.E. - Deutsche Bank;Euskaltel - Euskadi;Euskaltel - Euskadi;Euskaltel - Euskadi;Euskaltel - Euskadi;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Rinero Christophe;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Cofidis;Cofidis;Cofidis;null;Cofidis;null;null;R.a.g.t Semence - Mg Rover;null;Saunier Duval - Prodir;Saunier Duval;null;null;null;null;null;null;null;null;null;null;null;null
Vandenbroucke Frank;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Mapei-GB;null;null;Cofidis;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Pretot Arnaud;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;GAN;null;null;null;Festina;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Rebellin Davide;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;La Française des Jeux;null;null;null;null;null;Gerolsteiner;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Odriozola Jon;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Batik - Del Monte;null;Banesto;Banesto;iBanesto.com;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Derame Pascal;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;US Postal Service;US Postal Service;US Postal Service;Bonjour - Toupargel;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Gougot Fabrice;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Casino - C'est votre équipe;null;Casino - AG2R;Crédit Agricole;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Cueff Stiphane;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;La Mutuelle de Seine et Marne;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Tosatto Matteo;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;MG Maglificio - Technogym;null;null;null;Fassa Bortolo;null;null;Fassa Bortolo;null;Quickstep - Innergetic;Quickstep - Innergetic;Quickstep - Innergetic;Quickstep - Innergetic;null;Saxo Bank - Sungard;null;Team Saxo - Tinkoff;Tinkoff - Saxo;Tinkoff - Saxo;Tinkoff;null;null;null
Nardello Daniele;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Mapei-GB;Mapei - Bricobi;Mapei - Quickstep;Mapei - Quickstep;Mapei - Quickstep;null;Team Telekom;T-Mobile Team;T-Mobile Team;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Brognara Andrea;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Batik - Del Monte;null;null;null;null;Alessio;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
García Acosta José Vicente;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Banesto;Banesto;Banesto;Banesto;iBanesto.com;iBanesto.com;iBanesto.com;Illes Balears - Banesto;Illes Balears - Caisse d'Epargne;Caisse d'Epargne - Illes Balears;Caisse d'Epargne;Caisse d'Epargne;null;null;null;null;null;null;null;null;null;null;null
Colombo Luca;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Batik - Del Monte;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
O'Grady Stuart;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;GAN;GAN;Crédit Agricole;Crédit Agricole;Crédit Agricole;Crédit Agricole;Crédit Agricole;Cofidis, le Crédit par Téléphone;Cofidis, le Crédit par Téléphone;CSC ProTeam;CSC ProTeam;CSC ProTeam;Saxo Bank;Saxo Bank;Leopard Trek;Orica GreenEDGE;Orica GreenEDGE;null;null;null;null;null;null
Tartaggia Giuseppe;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Batik - Del Monte;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Jemison Marty;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;US Postal Service;US Postal Service;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Planckaert Jo;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Lotto - Mobistar;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Chaurreau Íñigo;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Polti;null;null;null;Euskaltel - Euskadi;AG2R Prévoyance;AG2R Prévoyance;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Casagrande Francesco;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Saeco;Cofidis;null;null;Fassa Bortolo;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Hamilton Tyler;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;US Postal Service;US Postal Service;US Postal Service;US Postal Service;US Postal Service;CSC ProTeam - Tiscali;Team CSC;Phonak Hearing Systems;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Schmidt Torsten;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Roslotto-ZG Mobili;null;null;null;null;null;Gerolsteiner;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Julich Bobby;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Cofidis;Cofidis;Cofidis;Crédit Agricole;Crédit Agricole;Team Telekom;null;Team CSC;CSC ProTeam;CSC ProTeam;null;null;null;null;null;null;null;null;null;null;null;null;null
Beltrán Manuel;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Banesto;Banesto;Banesto;Mapei - Quickstep;null;null;US Postal Service;US Postal Service;Discovery Channel;null;Liquigas;Liquigas;null;null;null;null;null;null;null;null;null;null;null
Delrieu David;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;La Mutuelle de Seine et Marne;null;null;AG2R Prevoyance;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Casero Ángel Luis;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Banesto;Vitalicio Seguros;Vitalicio Seguros - Grupo Generali;Festina - Lotus;Festina;null;Team Bianchi;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Zarrabeitia Mikel;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;O.N.C.E.;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Vogels Henk;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;GAN;null;Crédit Agricole;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Anti Jean-francois;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;La Mutuelle de Seine et Marne;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Maignan Gilles;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;La Mutuelle de Seine et Marne;null;Casino - AG2R;AG2R Prevoyance;AG2R Prévoyance;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Morin Anthony;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;BigMat - Auber 93;null;La Française des Jeux;Crédit Agricole;Crédit Agricole;Crédit Agricole;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Benitez Francisco;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Kelme - Costa Blanca;Vitalicio Seguros;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Sgnaolin Daniele;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Roslotto-ZG Mobili;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Djavanian Viatcheslav;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Roslotto-ZG Mobili;BigMat - Auber 93;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
